document_id,external_id,document_name,attribute_id,attribute_label,attribute_presence,human_additional_text,item_attribute_full_text_details,citation_page,citation_highlight_text,human_extraction,llm_extraction,llm_reasoning,llm_verbatim_text,human_verbatim_fuzzy_match_pct,llm_verbatim_fuzzy_match_pct,extraction_run_id
5471,010cea96-52e4-4819-8944-88d4b08345aa,Presence of pleural plaques and/or asbestosis and the risk of lung cancer in a Crocidolite asbestos exposed population from Western Australia,0,incl|1,True,,,,,False,False,"The document discusses asbestos exposure and its health effects, specifically lung cancer and pleural disease, but does not mention climate change or related health issues such as heat, extreme weather events, water quality, or food security. Therefore, it is not related to climate change and health as specified in the question.",,0.00,0.00,2026-08-03_12-23-38_
815689216,023f6c50-518e-4630-877f-026227409a4a,Improvement and application of UNet network for avoiding the effect of urban dense high-rise buildings and other feature shadows on water body extraction,0,incl|1,True,,,,,False,False,"The context provided focuses on water body extraction using remote sensing images and does not mention climate change or health-related issues. It discusses technical aspects of a neural network model for improving water extraction accuracy, which is unrelated to climate change or health exposure pathways. Therefore, the information is missing in the context provided.",,0.00,0.00,2026-08-03_12-23-38_
558553,04cbc527-875c-44bd-ad19-a57458f0eaaf,New shop owners in old buildings: spatial politics of the apparel industry in Kyrgyzstan,0,incl|1,True,,,,,False,False,"The document discusses the apparel manufacturing sector in Kyrgyzstan, focusing on economic and infrastructural challenges rather than climate change or health issues. There is no mention of climate change, health, or related exposure pathways in the provided context.",,0.00,0.00,2026-08-03_12-23-38_
6365261,05d82313-c646-4ba4-a73f-5e1afccb8c9c,RESEARCH OF CONSEQUENCES OF EMERGENCY SITUATIONS AT THE INDUSTRIAL PIPELINES,0,incl|1,True,,,,,False,False,"The document discusses emergency situations related to industrial pipelines, focusing on risks of accidents and gas emissions, but does not mention climate change or health-related issues such as exposure pathways, heat, extreme weather events, water quality, or food security. Therefore, it is not related to climate change and health.",,0.00,0.00,2026-08-03_12-23-38_
6994644,2f395670-3519-4993-9fe3-d62efbf02f7d,Itchy and scratchy? An investigation of human cercarial dermatitis in the UK,0,incl|1,True,,,,,False,False,"The document discusses human cercarial dermatitis (CD) and its association with open water swimming, but it does not mention climate change or its impacts on health, exposure pathways, or related factors such as heat, extreme weather events, water quality, or food security. Therefore, it does not relate to climate change and health.",,0.00,0.00,2026-08-03_12-23-38_
596984,350781d3-5778-4871-af69-cb4ac6b6cbaa,Thirty-two essential questions for understanding the social–ecological system of forage fish: the case of pacific herring,0,incl|1,True,,,,,False,False,"The document discusses the ecological and economic importance of forage fishes, specifically Pacific Herring, and their management issues. However, it does not mention climate change or health-related topics such as exposure pathways, extreme weather events, water quality, or food security. Therefore, the record is not related to climate change and health.",,0.00,0.00,2026-08-03_12-23-38_
68335678,37472b37-1ecf-4dee-ba11-15e3c9243818,"Cartographies of Everyday Conflicts in Public Spaces. Informal Micro-activities on Formal Infrastructure. Carapungo Entry Park, Quito",0,incl|1,True,,,,,False,False,"The document discusses cartography, informal micro-activities, and public spaces in the context of urban planning in Quito, Ecuador. It does not mention climate change or health-related issues, such as exposure pathways, heat, extreme weather events, water quality, or food security. Therefore, the information related to climate change and health is missing.",,0.00,0.00,2026-08-03_12-23-38_
22339,3d63f91c-fdd7-45c1-be82-a5252d727499,Significance of dietary sulphur and sulphate reducing bacteria in lactating dairy cattle: A review,0,incl|1,True,,,,,True,False,"The context discusses the role of sulphur in animal nutrition and its effects on dairy cattle performance, but it does not mention climate change, health, or related exposure pathways such as heat, extreme weather events, water quality, or food security. Therefore, it is not related to the specified topics.",,0.00,0.00,2026-08-03_12-23-38_
78958,51ab0487-34cb-43a9-9467-4d6200dcbb15,The ‘Small House’ Phenomenon and Its Impact on Zimbabwean Women’s Sexual Reproductive Health and Rights (SRHR),0,incl|1,True,,,,,False,False,"The document focuses on women's sexual reproductive health and rights in Zimbabwe, particularly discussing the 'small house' concept and its implications for women. It does not mention climate change or health issues related to exposure pathways such as heat, extreme weather events, water quality, or food security. Therefore, it is not related to climate change and health.",,0.00,0.00,2026-08-03_12-23-38_
802401,542f56a5-5f41-435c-b95e-b0516baee232,Temperature effects on plant gametophyte performance and their consequences for seed reproduction in wild plants,0,incl|1,True,,,,,False,False,"The document primarily discusses the impacts of climate change on seed plant reproduction, specifically focusing on pollen research and gametophytic performance. While it touches on the effects of climate change, it does not address health or exposure pathways related to heat, extreme weather events, water quality, or food security. Therefore, it is not related to climate change and health as defined in the prompt.",,0.00,0.00,2026-08-03_12-23-38_
